"Date","Check phone count","Screen on time"
"12/5/19","2","0:00:12"
"12/4/19","117","6:11:59"
"12/3/19","51","5:52:58"
"12/2/19","87","5:55:46"
"12/1/19","68","4:38:05"
"11/30/19","143","5:36:56"
"11/29/19","118","6:18:21"
"11/28/19","73","5:57:53"
"11/27/19","45","5:49:47"
"11/26/19","71","5:16:10"
"11/25/19","88","5:47:20"
"11/24/19","59","5:50:09"
"11/23/19","77","6:30:32"
"11/22/19","72","4:35:09"
"11/21/19","84","3:59:54"
"11/20/19","74","4:54:57"
"11/19/19","113","6:06:46"
"11/18/19","90","3:58:06"
"11/17/19","58","3:35:28"
"11/16/19","104","5:03:39"
"11/15/19","93","4:50:04"
"11/14/19","49","4:22:48"
"11/13/19","96","5:56:56"
"11/12/19","112","5:57:32"
"11/11/19","70","3:51:59"
"11/10/19","52","2:23:31"
"11/9/19","12","0:21:57"
""
"Check device history, December 5, 2019 - November 9, 2019"
"Created by App Usage on Thursday, December 5, 2019, 00:48"
