"App name","Count"
"Système Android","995"
"Messenger","967"
"Slack","226"
"Chrome","212"
"Discord","178"
"Google Actualités","56"
"Gest. de tél.","50"
"Horloge","47"
"Snapchat","39"
"Téléphone","34"
"App Usage","30"
"Maps","29"
"SMS/MMS","29"
"YouTube","21"
"BlackPlayer","20"
"Capture d'écran","15"
"Bankin'","14"
"WEBTOON","14"
"Instagram","13"
"Facebook","12"
"I Can't Wake Up! Alarm Clock","12"
"Google","11"
"Vélo'v officiel","11"
"Dealabs","9"
"Gmail","6"
"Notes","6"
"WhatsApp","6"
"Boutique Amazon","4"
"Spotify","4"
"Strava","4"
"CF.lumen","3"
"FlixBus","3"
"L'interface","3"
"Uber Eats","3"
"CIC","2"
"Google Opinion Rewards","2"
"Google Cloud Print","2"
"Services Google Play","2"
"KanjiSenpai","1"
"Leboncoin","1"
"LinkedIn","1"
"PayPal","1"
""
"Date","Count"
"12/5/19","4"
"12/4/19","162"
"12/3/19","173"
"12/2/19","126"
"12/1/19","86"
"11/30/19","184"
"11/29/19","187"
"11/28/19","73"
"11/27/19","154"
"11/26/19","214"
"11/25/19","148"
"11/24/19","102"
"11/23/19","124"
"11/22/19","81"
"11/21/19","52"
""
"Notification history, December 5, 2019 - November 9, 2019"
"Created by App Usage on Thursday, December 5, 2019, 00:48"
