"App name","Usage time","Access count"
"YouTube","27:04:37","751"
"Boost","11:22:30","494"
"Chrome","3:41:37","405"
"Discord","2:04:57","304"
"Slack","1:22:23","208"
"WEBTOON","1:06:26","23"
"Instagram","1:03:03","91"
"I Can't Wake Up! Alarm Clock","0:54:31","82"
"Vélo'v officiel","0:28:05","40"
"Messenger","0:24:44","109"
"Horloge","0:20:25","61"
"lichess","0:16:47","17"
"Gmail","0:16:28","90"
"Facebook","0:15:32","18"
"Izly","0:15:01","30"
"App Usage","0:13:25","18"
"Google Actualités","0:13:17","53"
"Uber Eats","0:13:04","14"
"Quora","0:11:46","15"
"Notes Keep","0:11:20","33"
"Téléphone","0:10:13","52"
"Google Opinion Rewards","0:07:02","8"
"Google Play Store","0:05:31","12"
"Drive","0:04:14","13"
"Boutique Amazon","0:04:03","18"
"Maps","0:03:49","19"
"Shazam","0:03:39","9"
"Bankin'","0:03:07","14"
"SMS/MMS","0:02:23","7"
"3G Watchdog","0:01:52","5"
"Notes","0:01:50","9"
"Snapchat","0:01:35","11"
"Slides","0:01:20","1"
"Citymapper","0:01:19","3"
"Gboard","0:01:18","8"
"Google Authenticator","0:01:06","4"
"LinkedIn","0:01:01","3"
"Caméra","0:00:43","7"
"Photos","0:00:30","10"
"Dealabs","0:00:26","3"
"Calculatrice","0:00:23","3"
"Gestionnaire de fichiers","0:00:22","5"
"BlackPlayer","0:00:21","7"
"L'interface","0:00:16","11"
"Programme d'installation du kit","0:00:12","12"
"WhatsApp","0:00:12","2"
"CIC","0:00:10","2"
"CF.lumen","0:00:09","4"
"Google","0:00:04","2"
"Bitwarden","0:00:02","2"
"Quick Brain","0:00:02","2"
"Strava","0:00:01","1"
"Speedtest","0:00:00","1"
""
"Date","Usage time"
"11/21/19","2:40:48"
"11/20/19","4:49:27"
"11/19/19","6:02:38"
"11/18/19","3:53:14"
"11/17/19","3:29:32"
"11/16/19","4:53:42"
"11/15/19","4:45:02"
"11/14/19","4:12:59"
"11/13/19","5:50:31"
"11/12/19","5:51:23"
"11/11/19","3:45:41"
"11/10/19","2:21:32"
"11/9/19","0:22:45"
