,Lat,Long,Time
0,52.5096781,13.3737716,1392976072.555
1,52.509678,13.3737723,1392976118.921
2,52.5096936,13.373731,1392976211.944
3,52.5096936,13.373731,1392976275.464
4,52.5096481,13.373657,1392979761.753
5,52.5094848,13.375708,1392985076.261
6,52.5284396,13.3367342,1392999635.789
7,52.5284396,13.3367342,1392999685.773
8,52.5283747,13.336793,1392999760.764
9,52.5283979,13.3367745,1392999819.302
10,52.5283747,13.336793,1392999879.475
11,52.5283749,13.3367933,1392999941.257
12,52.5284181,13.3367757,1393000003.196
13,52.5284341,13.3367115,1393000063.255
14,52.5284036,13.3367736,1393000124.206
15,52.5283937,13.3367741,1393000185.323
16,52.5284025,13.3367769,1393000246.263
17,52.5284036,13.3367736,1393000307.137
18,52.5283749,13.3367933,1393000367.173
19,52.5283747,13.3367931,1393000427.224
20,52.5283747,13.3367933,1393000487.261
21,52.5283737,13.3367953,1393000547.397
22,52.5283924,13.3367754,1393000608.201
23,52.5284203,13.3367767,1393000668.184
24,52.5283757,13.3367924,1393000728.156
25,52.528401,13.3367748,1393000788.211
26,52.5283979,13.3367766,1393000849.22
27,52.5284036,13.3367736,1393000909.177
28,52.5283979,13.3367745,1393000970.206
29,52.5283965,13.3367761,1393001030.221
30,52.5284002,13.3367738,1393001091.13
31,52.5284028,13.3367767,1393001151.193
32,52.5284064,13.3367754,1393001211.268
33,52.5283915,13.3367758,1393001272.175
34,52.5283953,13.3367761,1393001332.217
35,52.5284029,13.336777,1393001388.673
36,52.5284065,13.3367767,1393001448.668
37,52.5284065,13.3367767,1393001513.669
38,52.5284065,13.3367767,1393001573.725
39,52.5283933,13.3367746,1393001628.844
40,52.5283933,13.3367746,1393001693.876
41,52.5283953,13.3367761,1393001753.177
42,52.5284144,13.3367736,1393001813.235
43,52.5283939,13.3367764,1393001874.208
44,52.5284269,13.3367746,1393001934.185
45,52.5284025,13.3367769,1393001994.262
46,52.5283747,13.3367932,1393002055.148
47,52.5283747,13.3367932,1393002115.17
48,52.528397,13.3367741,1393002175.222
49,52.5284524,13.3367349,1393002235.25
50,52.5284598,13.3367341,1393002295.308
51,52.5284356,13.3367454,1393002355.268
52,52.5284198,13.3367564,1393002415.269
53,52.5284152,13.3367679,1393002476.207
54,52.5284429,13.3367522,1393002536.221
55,52.5284459,13.3367438,1393002597.199
56,52.5284244,13.336753,1393002658.165
57,52.5284312,13.3367437,1393002718.214
58,52.5284334,13.3367524,1393002778.287
59,52.5284448,13.3367416,1393002834.769
60,52.5284448,13.3367416,1393002899.717
61,52.5284249,13.3367491,1393002954.854
62,52.528395,13.3367754,1393003019.105
63,52.528428,13.3367478,1393003079.274
64,52.5284283,13.3367578,1393003139.341
65,52.5283898,13.3367787,1393003200.194
66,52.5284363,13.3367535,1393003260.22
67,52.5284369,13.3367514,1393003320.222
68,52.5284473,13.3367525,1393003380.21
69,52.528443,13.3367543,1393003436.822
70,52.528443,13.3367543,1393003501.738
71,52.5284459,13.3367235,1393003561.093
72,52.5283752,13.3367937,1393003621.114
73,52.5283965,13.3367761,1393003681.207
74,52.5283746,13.3367927,1393003741.304
75,52.5284096,13.3367444,1393003801.312
76,52.5284604,13.3366992,1393003862.084
77,52.5284636,13.3367134,1393003922.144
78,52.528442,13.336731,1393003982.266
79,52.5284576,13.336729,1393004028.57
80,52.5284679,13.3367108,1393004115.559
81,52.5284679,13.3367108,1393004175.653
82,52.5284679,13.3367108,1393004235.722
83,52.5284679,13.3367108,1393004295.739
84,52.5284679,13.3367108,1393004355.764
85,52.5284679,13.3367108,1393004415.761
86,52.5284679,13.3367108,1393004475.775
87,45.7033477,5.0935752,1393021858.173
88,45.7033477,5.0935752,1393021968.097
89,45.7033477,5.0935752,1393022042.108
90,45.7033477,5.0935752,1393022110.136
91,45.7033477,5.0935752,1393022412.049
92,45.7033477,5.0935752,1393022472.066
93,45.7033477,5.0935752,1393022532.141
94,45.7213082,5.0734654,1393023418.701
95,45.7215941,5.0754009,1393023504.218
96,45.7215941,5.0754009,1393023565.959
97,45.7215941,5.0754009,1393023626.021
98,45.7239894,5.0594763,1393024292.985
99,45.7254025,5.0740416,1393024349.217
100,45.7249314,5.0691865,1393024409.123
101,45.7381094,5.0901546,1393024469.251
102,45.749403,5.0917024,1393024529.227
103,45.7573901,5.0895096,1393024589.359
104,45.7653771,5.0873168,1393024649.332
105,45.7653771,5.0873168,1393024709.34
106,45.8112905,5.0629465,1393024769.515
107,45.8112905,5.0629465,1393024829.32
108,45.8112905,5.0629465,1393024889.376
109,45.8112905,5.0629465,1393024949.395
110,45.8112905,5.0629465,1393025009.437
111,45.827939,5.0435613,1393025069.976
112,45.8304132,5.0493995,1393025129.69
113,45.8483498,5.0816475,1393025190.035
114,45.8523354,5.0968786,1393025249.745
115,45.8562562,5.1114312,1393025309.672
116,45.8594859,5.1309123,1393025369.765
117,45.8627806,5.151072,1393025429.643
118,45.8650496,5.1757852,1393025489.865
119,45.8648848,5.1691135,1393025549.875
120,45.8680803,5.1863192,1393025609.834
121,45.8751497,5.1949697,1393025669.876
122,45.9091669,5.239164,1393025729.903
123,45.9099955,5.2423911,1393025789.911
124,45.9297175,5.2744355,1393025910.35
125,45.9481634,5.2902154,1393025969.952
126,45.964446,5.3176631,1393026030.173
127,45.9666579,5.3220969,1393026090.041
128,45.9881976,5.3140383,1393026150.215
129,45.9859857,5.3096045,1393026210.114
130,46.6807998,5.5580498,1393032279.177
131,46.6808331,5.5580241,1393032340.688
132,46.6808323,5.5580263,1393032400.701
133,46.6808323,5.5580263,1393032459.576
