"Date","Time","Battery(%)","Note"
"11/18/19","17:58:57","24","level changed, screen on, charge off, power saver on"
"11/18/19","17:58:57","24","monitor enabled, screen on, charge off, power saver on"
"11/18/19","17:58:57","24","level changed, screen on, charge off, power saver on"
"11/18/19","17:59:51","23","level changed, screen on, charge off, power saver on"
"11/18/19","18:01:12","23","level changed, screen off, charge off, power saver on"
"11/18/19","18:02:03","23","level changed, screen on, charge off, power saver on"
"11/18/19","18:02:43","23","level changed, screen off, charge off, power saver on"
"11/18/19","18:05:57","23","level changed, screen on, charge off, power saver on"
"11/18/19","18:07:21","23","level changed, screen off, charge off, power saver on"
"11/18/19","18:11:55","23","level changed, screen on, charge off, power saver on"
"11/18/19","18:11:57","23","level changed, screen off, charge off, power saver on"
"11/18/19","18:16:25","23","level changed, screen on, charge off, power saver on"
"11/18/19","18:16:52","22","level changed, screen on, charge off, power saver on"
"11/18/19","18:16:53","22","level changed, screen off, charge off, power saver on"
"11/18/19","18:20:25","22","level changed, screen on, charge off, power saver on"
"11/18/19","18:21:34","22","level changed, screen off, charge off, power saver on"
"11/18/19","18:25:52","22","level changed, screen on, charge off, power saver on"
"11/18/19","18:26:25","22","level changed, screen off, charge off, power saver on"
"11/18/19","18:39:22","21","level changed, screen off, charge off, power saver on"
"11/18/19","18:44:42","21","level changed, screen on, charge off, power saver on"
"11/18/19","18:50:43","20","level changed, screen on, charge off, power saver on"
"11/18/19","18:51:31","20","level changed, screen off, charge off, power saver on"
"11/18/19","18:51:34","20","level changed, screen on, charge off, power saver on"
"11/18/19","18:55:25","20","level changed, screen off, charge off, power saver on"
"11/18/19","19:03:42","20","level changed, screen on, charge off, power saver on"
"11/18/19","19:04:55","19","level changed, screen on, charge off, power saver on"
"11/18/19","19:05:01","19","level changed, screen off, charge off, power saver on"
"11/18/19","19:13:34","19","level changed, screen on, charge off, power saver on"
"11/18/19","19:17:11","19","level changed, screen off, charge off, power saver on"
"11/18/19","19:17:20","19","level changed, screen on, charge off, power saver on"
"11/18/19","19:21:54","19","level changed, screen off, charge off, power saver on"
"11/18/19","19:30:38","18","level changed, screen off, charge off, power saver on"
"11/18/19","19:37:15","18","level changed, screen on, charge off, power saver on"
"11/18/19","19:40:04","18","level changed, screen off, charge off, power saver on"
"11/18/19","19:40:50","18","level changed, screen on, charge off, power saver on"
"11/18/19","19:41:39","18","level changed, screen off, charge off, power saver on"
"11/18/19","19:41:59","18","level changed, screen on, charge off, power saver on"
"11/18/19","19:42:54","18","level changed, screen off, charge off, power saver on"
"11/18/19","19:44:03","18","level changed, screen on, charge off, power saver on"
"11/18/19","19:45:28","18","level changed, screen off, charge off, power saver on"
"11/18/19","19:45:32","18","level changed, screen on, charge off, power saver on"
"11/18/19","19:46:26","17","level changed, screen on, charge off, power saver on"
"11/18/19","19:52:01","17","level changed, screen off, charge off, power saver on"
"11/18/19","19:56:02","17","level changed, screen on, charge off, power saver on"
"11/18/19","19:56:47","17","level changed, screen off, charge off, power saver on"
"11/18/19","19:58:21","17","level changed, screen on, charge off, power saver on"
"11/18/19","19:59:03","17","level changed, screen off, charge off, power saver on"
"11/18/19","20:00:01","17","level changed, screen on, charge off, power saver on"
"11/18/19","20:01:02","16","level changed, screen on, charge off, power saver on"
"11/18/19","20:03:24","16","level changed, screen off, charge off, power saver on"
"11/18/19","20:16:50","16","level changed, screen on, charge off, power saver on"
"11/18/19","20:18:20","16","level changed, screen off, charge off, power saver on"
"11/18/19","20:25:40","16","level changed, screen on, charge off, power saver on"
"11/18/19","20:25:49","16","level changed, screen off, charge off, power saver on"
"11/18/19","20:32:57","16","level changed, screen on, charge off, power saver on"
"11/18/19","20:33:58","15","level changed, screen on, charge off, power saver on"
"11/18/19","20:41:16","14","level changed, screen on, charge off, power saver on"
"11/18/19","20:49:58","13","level changed, screen on, charge off, power saver on"
"11/18/19","20:58:29","12","level changed, screen on, charge off, power saver on"
"11/18/19","21:03:54","12","level changed, screen off, charge off, power saver on"
"11/18/19","21:04:19","12","level changed, screen on, charge off, power saver on"
"11/18/19","21:06:22","11","level changed, screen on, charge off, power saver on"
"11/18/19","21:14:41","10","level changed, screen on, charge off, power saver on"
"11/18/19","21:23:00","9","level changed, screen on, charge off, power saver on"
"11/18/19","21:25:13","9","level changed, screen off, charge off, power saver on"
"11/18/19","21:27:08","9","level changed, screen on, charge off, power saver on"
"11/18/19","21:32:54","9","level changed, screen off, charge off, power saver on"
"11/18/19","21:51:27","8","level changed, screen off, charge off, power saver on"
"11/18/19","22:24:43","8","level changed, screen on, charge off, power saver on"
"11/18/19","22:24:52","8","level changed, screen off, charge off, power saver on"
"11/18/19","22:56:09","8","level changed, screen on, charge off, power saver on"
"11/18/19","22:56:19","8","level changed, screen off, charge off, power saver on"
"11/18/19","22:56:37","8","level changed, screen on, charge off, power saver on"
"11/18/19","22:56:38","8","level changed, screen off, charge off, power saver on"
"11/18/19","22:56:40","8","level changed, screen on, charge off, power saver on"
"11/18/19","22:57:39","7","level changed, screen on, charge off, power saver on"
