,Lat,Long,Time
0,45.7783591,4.8791061,1545139819.02
1,45.7783428,4.8791056,1545139925.115
2,45.7783616,4.879084,1545139940.297
3,45.7783367,4.8791201,1545140039.228
4,45.7783481,4.8791143,1545140079.382
5,45.7783489,4.8791114,1545140145.191
6,45.7783712,4.8790838,1545140164.121
7,45.7783473,4.8791023,1545140187.092
8,45.7783155,4.8791343,1545140314.479
9,45.7783369,4.8791116,1545140754.348
10,45.7783604,4.8790878,1545140902.606
11,45.7783244,4.8791096,1545141053.628
12,45.7783387,4.8791055,1545141204.638
13,45.778293,4.879145,1545141732.555
14,45.778344,4.879112,1545141892.509
15,45.778347,4.8790776,1545142334.961
16,45.7783484,4.8790755,1545143255.135
17,45.7783372,4.8790962,1545143415.147
18,45.7783316,4.8790834,1545143660.813
19,45.7783274,4.8790929,1545143699.022
20,45.7777313,4.8739351,1545143752.884
21,45.7783605,4.8790859,1545143822.143
22,45.7777313,4.8739351,1545143872.912
23,45.7780191,4.8787852,1545143895.045
24,45.7770128,4.8752325,1545144383.455
25,45.7770728,4.8749587,1545144578.223
26,45.7780689,4.8789142,1545144983.405
27,45.7783264,4.879078,1545145284.439
28,45.7783408,4.8791126,1545146544.504
29,45.7783281,4.8790916,1545146682.005
30,45.7783321,4.8791044,1545146772.131
31,45.7783374,4.8791041,1545146810.019
32,45.7784614,4.8783405,1545146893.824
33,45.7776861,4.8789049,1545146909.0
34,45.7775552,4.8789725,1545146930.582
35,45.7779262,4.8788868,1545146980.0
36,45.7777704,4.8790259,1545146995.0
37,45.7781607,4.8790842,1545147025.0
38,45.7783062,4.8790873,1545147040.0
39,45.7782417,4.8789825,1545147056.0
40,45.7781901,4.8789591,1545147072.0
41,45.778316,4.8790395,1545147087.0
42,45.7782486,4.8790201,1545147103.0
43,45.7783713,4.8787948,1545147118.0
44,45.7784744,4.8790215,1545147133.0
45,45.7785276,4.8788328,1545147149.0
46,45.7785381,4.87894,1545147164.0
47,45.7784644,4.8790044,1545147179.0
48,45.7783396,4.8789659,1545147195.0
49,45.7780297,4.8788468,1545147210.0
50,45.7782612,4.8789736,1545147226.0
51,45.7783818,4.8790721,1545147242.0
52,45.7783763,4.8789791,1545147257.0
53,45.7782052,4.8791598,1545147273.0
54,45.7782943,4.879106,1545147289.0
55,45.7774343,4.8787615,1545147304.0
56,45.7783869,4.8789474,1545147334.0
57,45.778301,4.8790236,1545147350.0
58,45.7783717,4.8790495,1545147366.0
59,45.7783794,4.8790494,1545147368.0
60,45.7779562,4.8789021,1545147401.0
61,45.778614,4.8791265,1545147416.0
62,45.7784808,4.8792133,1545147431.0
63,45.7782129,4.8790461,1545147446.0
64,45.7783732,4.8788204,1545147461.0
65,45.7784219,4.8790303,1545147491.0
66,45.778498,4.8790352,1545147506.0
67,45.778512,4.8788531,1545147521.0
68,45.7783196,4.8788883,1545147536.0
69,45.7783039,4.8792643,1545147552.0
70,45.7781214,4.8797521,1545147581.0
71,45.7782684,4.8778054,1545147602.0
72,45.7785281,4.8782833,1545147617.0
73,45.7787021,4.8783985,1545147633.0
74,45.7785569,4.878343,1545147648.0
75,45.7784507,4.8787701,1545147664.0
76,45.778254,4.8793928,1545147679.0
77,45.7782692,4.8792323,1545147695.0
78,45.778366,4.8788548,1545147710.0
79,45.7784565,4.878815,1545147725.0
80,45.778575,4.8785471,1545147741.0
81,45.7784555,4.8785642,1545147757.0
82,45.7783704,4.8787221,1545147772.0
83,45.778269,4.8789082,1545147783.0
84,45.778195,4.879066,1545147798.0
85,45.7784756,4.8789947,1545147814.0
86,45.7786069,4.8788786,1545147830.0
87,45.7786079,4.8790454,1545147845.0
88,45.7783396,4.8790982,1545147865.585
89,45.7776869,4.8789746,1545147883.0
90,45.7792001,4.8788235,1545147899.0
