"Date","Check phone count","Screen on time"
"26/11/2019","11","0:06:25"
"25/11/2019","30","1:32:11"
"24/11/2019","21","3:07:26"
"23/11/2019","67","2:14:38"
"22/11/2019","75","1:51:15"
"21/11/2019","47","2:30:14"
"20/11/2019","54","2:53:56"
"19/11/2019","57","1:22:08"
"18/11/2019","48","2:09:15"
"17/11/2019","42","2:07:59"
"16/11/2019","50","2:22:34"
"15/11/2019","65","1:56:44"
"14/11/2019","38","1:36:24"
"13/11/2019","66","3:57:44"
"12/11/2019","73","1:41:46"
"11/11/2019","34","3:41:43"
"10/11/2019","43","3:33:04"
"09/11/2019","68","4:54:49"
""
"Historique des consultations, 26 novembre 2019 - 1 novembre 2019"
"Created by App Usage on mardi 26 novembre 2019 à 09:27"
